nm,单体1,单体2,单体3
252,1.2784,1.1322,1.15
251,1.2872,1.1286,1.169
250,1.2984,1.1205,1.178
249,1.2872,1.1187,1.201
248,1.2888,1.1025,1.21
247,1.3088,1.1133,1.215
246,1.3304,1.0989,1.224
245,1.3472,1.0935,1.224
244,1.3488,1.0845,1.215
243,1.348,1.062,1.203
242,1.384,1.0494,1.196
241,1.3928,1.0602,1.187
240,1.36,1.0413,1.166
239,1.3928,1.0305,1.151
238,1.4008,1.0296,1.138
237,1.4176,1.0341,1.129
236,1.3312,1.0467,1.111
235,1.3584,1.0368,1.093
234,1.3304,1.0368,1.059
233,1.3104,1.0395,1.067
232,1.324,1.0539,1.07
231,1.2864,1.062,1.067
230,1.276,1.0548,1.08
229,1.3264,1.0431,1.092
228,1.3344,1.0413,1.098
227,1.3104,1.0539,1.109
226,1.2992,1.071,1.107
225,1.296,1.0998,1.091
224,1.3464,1.1376,1.108
223,1.3,1.1196,1.146
222,1.372,1.1223,1.136
221,1.3952,1.1268,1.117
220,1.4992,1.1565,1.109
219,1.4608,1.1286,1.139
218,1.4848,1.0728,1.115
217,1.4184,1.035,1.137
216,1.308,0.9837,1.128
215,1.488,0.9774,1.112
214,1.3024,0.9828,1.117
213,1.2168,0.9918,1.109
212,1.1784,0.972,1.094
211,1.2032,0.9684,1.08
210,1.2168,0.9738,1.064
209,1.2272,0.9783,1.049
208,1.208,0.9882,1.022
207,1.2536,0.99,0.992
206,1.2368,1.0098,0.956
205,1.2344,1.0269,0.946
204,1.2232,1.0557,0.926
203,1.164,1.0737,0.909
202,1.1464,1.0638,0.904
201,1.1392,1.0611,0.899
200,1.0816,1.0431,0.892
